XP	Nreads	Kingdom	Phylum	Class	Order	Family	Genus
MT	18491.51	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium XlVa
MT	91201.6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
MT	29583.97	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	unclassified
MT	2116.19	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
MT	42014.5	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
MT	18.4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
MT	103205.84	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
MT	458.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
MT	15.04	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
MT	0.6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
